DateTime,Entries,UniqueIPs
1533050039,22887,23485
1533050660,22887,23485
1533051382,22890,23488
1533052103,22893,23491
1533053085,22884,23482
1533054029,22885,23483
1533054773,22882,23480
1533055461,22881,23479
1533056439,22884,23482
1533057165,22886,23484
1533057852,22887,23485
1533058570,22890,23488
1533059295,22884,23482
1533060039,22883,23481
1533060758,22878,23476
1533061709,22881,23478
1533062418,22881,23478
1533063143,22878,23475
1533064116,22877,23474
1533065555,22876,23473
1533067501,22869,23466
1533068180,22869,23466
1533069154,22869,23466
1533069860,22871,23468
1533070580,22868,23465
1533071307,22869,23466
1533072025,22869,23466
1533072747,22871,23468
1533073460,22871,23469
1533074180,22876,23474
1533075154,22864,23458
1533075862,22889,23490
1533076583,22892,23508
1533077303,22900,23519
1533078027,22905,23524
1533078756,22900,23519
1533079466,22898,23517
1533080178,22901,23520
1533080910,22893,23512
1533081631,22901,23520
1533082346,22897,23518
1533083061,22900,23521
1533083787,22897,23518
1533084765,22900,23521
1533085453,22897,23518
1533086174,22900,23521
1533087156,22905,23526
1533087862,22902,23525
1533088584,22904,23527
1533089553,22906,23529
1533090261,22904,23527
1533090999,22907,23530
1533091700,22906,23529
1533092441,22910,23533
1533093383,22908,23531
1533094353,22905,23531
1533095058,22905,23531
1533095769,22904,23530
1533096488,22903,23529
1533097210,22903,23529
1533097933,22903,23529
1533098659,22902,23528
1533099368,22903,23529
1533100097,22900,23526
1533101055,22900,23526
1533102030,22904,23529
1533102993,22901,23526
1533103958,22902,23527
1533104663,22901,23526
1533105382,22903,23528
1533106351,22906,23531
1533107065,22902,23527
1533107799,22901,23526
1533108753,22901,23529
1533109463,22898,23526
1533110203,22899,23527
1533110901,22897,23525
1533111624,22901,23530
1533112348,22897,23526
1533113062,22888,23518
1533114034,22894,23525
1533114749,22897,23528
1533115467,22896,23529
1533116179,22898,23531
1533116907,22898,23531
1533117876,22893,23526
1533118583,22896,23529
1533119306,22899,23531
1533120019,22903,23535
1533120743,22901,23533
1533121713,22896,23528
1533122419,22903,23535
1533123154,22905,23537
1533124864,22909,23541
1533125542,22909,23541
1533126266,22907,23539
1533127229,22905,23537
1533127958,22907,23541
1533129387,22905,23539
1533130100,22911,23545
1533130822,22911,23545
1533131548,22916,23550
1533132267,22908,23542
1533132988,22910,23544
1533133956,22909,23543
1533134661,22911,23544
1533135388,22914,23547
1533136102,22910,23547
1533136825,22908,23545
1533137796,22912,23546
1533138501,22910,23544
1533139233,22910,23545
1533139978,22906,23541
1533140662,22898,23542
1533141386,22900,23544
1533142102,22903,23547
1533142834,22905,23549
1533143540,22906,23550
1533144263,22909,23553
1533145231,22904,23548
1533145943,22904,23548
1533146686,22902,23546
1533147625,22901,23545
1533148346,22900,23543
1533149067,22904,23547
1533149781,22902,23545
1533150505,22904,23547
1533151218,22902,23545
1533151959,22898,23541
1533152660,22892,23535
1533153386,22896,23539
1533154349,22891,23534
1533155060,22850,23463
1533156504,22852,23465
1533157238,22850,23463
1533158192,22845,23458
1533158898,22843,23456
1533159624,22836,23449
1533160344,22835,23448
1533161082,22830,23443
1533162028,22830,23442
1533162755,22833,23445
1533163460,22834,23446
1533164179,22832,23444
1533164916,22838,23449
1533166840,22836,23447
1533167540,22837,23448
1533168280,22837,23449
1533169229,22840,23452
1533169943,22834,23446
1533170671,22836,23448
1533171378,22834,23446
1533172115,22835,23447
1533173066,22841,23453
1533173779,22838,23451
1533174508,22841,23454
1533175217,22840,23453
1533175949,22832,23445
1533176659,22825,23438
1533177381,22826,23439
1533178104,22824,23437
1533178835,22821,23434
1533179794,22819,23432
1533180748,22815,23428
1533181460,22814,23427
1533182183,22818,23431
1533182902,22818,23431
1533183626,22819,23432
1533184345,22823,23436
1533185062,22819,23432
1533185778,22822,23435
1533186516,22820,23433
1533187467,22817,23430
1533188429,22818,23431
1533189140,22817,23430
1533189878,22812,23425
